# Synthetic EIS Data
# Circuit: R1-(R2-W1)|C1
# Parameters: {'C1': 1e-06, 'R1': 100, 'R2': 1000, 'W1': 500}
# Frequency range: 1.0 - 100000.0 Hz
# Number of points: 50
# Noise level: 0.05
#
Frequency (Hz),Z_real (Ohm),Z_imag (Ohm)
1.000000e+00,1.317220e+03,-2.017030e+02
1.264855e+00,1.300567e+03,-1.452867e+02
1.599859e+00,1.256529e+03,-1.485319e+02
2.023590e+00,1.235965e+03,-1.013898e+02
2.559548e+00,1.223479e+03,-1.273388e+02
3.237458e+00,1.243027e+03,-8.633271e+01
4.094915e+00,1.202450e+03,-7.557221e+01
5.179475e+00,1.211970e+03,-6.764196e+01
6.551286e+00,1.178810e+03,-6.968889e+01
8.286428e+00,1.163133e+03,-1.044623e+02
1.048113e+01,1.159673e+03,-1.320698e+02
1.325711e+01,1.159731e+03,-8.829853e+01
1.676833e+01,1.151841e+03,-1.567117e+02
2.120951e+01,1.137622e+03,-1.572499e+02
2.682696e+01,1.124593e+03,-1.796785e+02
3.393222e+01,1.091099e+03,-2.192059e+02
4.291934e+01,1.068252e+03,-2.643082e+02
5.428675e+01,1.014050e+03,-3.185261e+02
6.866488e+01,9.646009e+02,-3.699324e+02
8.685114e+01,8.949804e+02,-4.340118e+02
1.098541e+02,7.988171e+02,-4.758565e+02
1.389495e+02,6.773559e+02,-5.027680e+02
1.757511e+02,5.478523e+02,-4.870502e+02
2.222996e+02,4.414777e+02,-4.510099e+02
2.811769e+02,3.631936e+02,-4.119937e+02
3.556480e+02,2.709115e+02,-3.586360e+02
4.498433e+02,2.229912e+02,-2.968237e+02
5.689866e+02,1.773837e+02,-2.498962e+02
7.196857e+02,1.513694e+02,-2.067716e+02
9.102982e+02,1.316156e+02,-1.641946e+02
1.151395e+03,1.250462e+02,-1.298455e+02
1.456348e+03,1.180473e+02,-1.060362e+02
1.842070e+03,1.105163e+02,-7.901147e+01
2.329952e+03,1.100797e+02,-6.203110e+01
2.947052e+03,1.048185e+02,-4.830898e+01
3.727594e+03,1.068331e+02,-4.173704e+01
4.714866e+03,1.022584e+02,-3.154148e+01
5.963623e+03,1.014975e+02,-2.224773e+01
7.543120e+03,1.032729e+02,-1.691225e+01
9.540955e+03,1.048296e+02,-1.595288e+01
1.206793e+04,1.011236e+02,-1.241901e+01
1.526418e+04,1.002317e+02,-7.615301e+00
1.930698e+04,1.018834e+02,-5.246579e+00
2.442053e+04,1.001737e+02,-2.453674e+00
3.088844e+04,1.045249e+02,-2.491576e+00
3.906940e+04,1.039038e+02,-1.625279e-01
4.941713e+04,1.002003e+02,6.347031e-01
6.250552e+04,1.044818e+02,2.310896e+00
7.906043e+04,1.025978e+02,2.125323e+00
1.000000e+05,1.013834e+02,1.114269e+00
